,,,,GENERAL,,PRE-ANALYSIS,,,EMULATION_TRACING,GENERAL_FUZZING,,,,,,,,,AFLNET_FUZZING,,,STAFF_FUZZING,,,EXTRA_FUZZING,
status,exp_name,container_name,num_cores,mode (M),firmware (F),subregion_divisor (SD),min_subregion_len (MSL),delta_threshold (DT),include_libraries (IL),fuzz_tmout (FT),timeout (T),afl_no_arith (ANA),afl_no_bitflip (ANB),afl_no_interest (ANI),afl_no_user_extras (ANU),afl_no_extras (ANE),afl_calibration (AC),afl_shuffle_queue (ASQ),region_delimiter (RD),proto (P),region_level_mutation (RLM),sequence_minimization (SM),taint_metrics (TM),checkpoint_strategy (CS),coverage_tracing (CT),stage_max (SMA)
,,,1,aflnet_base,dlink/dap2310_v1.00_o772.bin,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,staff_base,dlink/dap2310_v1.00_o772.bin,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,staff_state_aware,dlink/dap2310_v1.00_o772.bin,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,aflnet_state_aware,dlink/dap2310_v1.00_o772.bin,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,triforce,dlink/dap2310_v1.00_o772.bin,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,aflnet_base,asus/FW_RT_N10U_B1_30043763754.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,staff_base,asus/FW_RT_N10U_B1_30043763754.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,staff_state_aware,asus/FW_RT_N10U_B1_30043763754.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,aflnet_state_aware,asus/FW_RT_N10U_B1_30043763754.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,triforce,asus/FW_RT_N10U_B1_30043763754.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,aflnet_base,netgear/JNR3210_Firmware_Version_1.1.0.14.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,staff_base,netgear/JNR3210_Firmware_Version_1.1.0.14.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,staff_state_aware,netgear/JNR3210_Firmware_Version_1.1.0.14.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,aflnet_state_aware,netgear/JNR3210_Firmware_Version_1.1.0.14.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,triforce,netgear/JNR3210_Firmware_Version_1.1.0.14.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,aflnet_base,tplink/TL-WPA8630_US__V2_171011.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,staff_base,tplink/TL-WPA8630_US__V2_171011.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,staff_state_aware,tplink/TL-WPA8630_US__V2_171011.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,aflnet_state_aware,tplink/TL-WPA8630_US__V2_171011.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,triforce,tplink/TL-WPA8630_US__V2_171011.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,aflnet_base,trendnet/TEW-652BRP_3.04B01.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,staff_base,trendnet/TEW-652BRP_3.04B01.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,staff_state_aware,trendnet/TEW-652BRP_3.04B01.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,aflnet_state_aware,trendnet/TEW-652BRP_3.04B01.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
,,,1,triforce,trendnet/TEW-652BRP_3.04B01.zip,10,3,1.0,1,86400,120,1,0,1,1,1,1,1,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc/number_of_app_tb_pcs/rarest_process/number_of_processes,1,taint_block,1
